              Konto Plan 
   101  Account                                                0,00 €   -174.672,09 € 
   102  Account 3 vir                                          0,00 €        0,00 € 
   103  Scout account                                          0,00 €   -205.319,09 € 
   104  War account (responsability of a'o's)                  0,00 €   -163.019,09 € 
   120  CREDIT to Lasade                                       0,00 €   -227.675,00 € 
   121  CREDIT to Islandir                                     0,00 €   -78.000,00 € 
   122  CREDIT to Joanla                                       0,00 €   -194.000,00 € 
   123  CREDIT to angel'o'sphere                               0,00 €   -413.620,00 € 
   124  CREDIT to Destro                                       0,00 €   -352.000,00 € 
   125  CREDIT to Gimlon                                       0,00 €   -255.168,00 € 
   126  CREDIT to Jyhem                                        0,00 €   -270.000,00 € 
   127  CREDIT to BreakMan                                     0,00 €   -135.000,00 € 
   128  CREDIT to Pade                                         0,00 €   -413.200,00 € 
   129  CREDIT to Tiran                                        0,00 €   -398.600,00 € 
   130  CREDIT to Mu                                           0,00 €   -169.350,00 € 
   131  CREDIT to Trooper                                      0,00 €        0,00 € 
   132  CREDIT to Sukayo                                       0,00 €        0,00 € 
   133  CREDIT to Xeon                                         0,00 €        0,00 € 
   134  CREDIT to Vampire                                      0,00 €   -199.170,00 € 
   135  CREDIT to Jerico                                       0,00 €   -132.000,00 € 
   136  CREDIT to Mayhem                                       0,00 €   -171.000,00 € 
   137  CREDIT to TheCleaner                                   0,00 €   -197.000,00 € 
   138  CREDIT to zHA                                          0,00 €   -324.000,00 € 
   139  CREDIT to woodydrn                                     0,00 €   -298.000,00 € 
   140  CREDIT to Amorpha                                      0,00 €   -94.000,00 € 
   141  CREDIT to Tropan                                       0,00 €        0,00 € 
   142  CREDIT to mosquito                                     0,00 €        0,00 € 
   143  CREDIT to Rizzo                                        0,00 €        0,00 € 
   144  CREDIT to Flashblade                                   0,00 €   -94.000,00 € 
   199  Temp account                                           0,00 €        0,00 € 

   201  Alliance capital                                       0,00 €        0,00 € 
   202  Reserves                                               0,00 €        0,00 € 
   210  Debts to pay                                           0,00 €        0,00 € 
   221  non classable gains                                    0,00 €        0,00 € 
   230  Planet Trigamil 2069 Islandir                          0,00 €   -29.000,00 € 
   231  Planet Eden 2225 Mu                                    0,00 €   -83.950,00 € 
   232  Planet Monticule 2154 Lasade                           0,00 €   -186.850,00 € 
   233  Planet Great-A'Thuin 2054 Jyhem                        0,00 €   -50.050,00 € 
   234  Planet Riga 3105 Gimlon                                0,00 €   -30.150,00 € 
   235  Planet Taii'gard 4188 Tiran                            0,00 €   -133.975,00 € 
   236  Planet Oc-Ra 2047 Trooper                              0,00 €     -850,00 € 
   237  Planet Aurora 2168 Mu                                  0,00 €   -62.650,00 € 
